Graph#  Reduction Time  Kern.Size  Accuracy
     0;     15.074585;           0;     0.91
     1;     38.150379;           0;     0.88
     2;     60.052205;           0;     0.90
     3;     32.191771;           0;     0.89
     4;     66.812446;           0;     0.91
     5;     65.172193;           0;     0.86
     6;     30.898951;           0;     0.92
     7;     48.254293;           0;     0.86
     8;     13.918647;           0;     0.86
     9;     28.399540;           0;     0.90
    10;     30.524082;           0;     0.83
    11;     28.462105;           0;     0.89
    12;     26.556210;           0;     0.84
    13;     63.703833;           0;     0.89
    14;     17.511468;           0;     0.88
    15;     25.525256;           0;     0.82
    16;     26.681232;           0;     0.82
    17;     48.879145;           0;     0.88
    18;     30.617810;           0;     0.89
    19;     21.573097;           0;     0.88
    20;     31.836273;           0;     0.94
    21;     30.508420;           0;     0.90
    22;     28.305852;           0;     0.92
    23;     50.269444;           0;     0.83
    24;     52.144002;           0;     0.94
    25;     34.804327;           0;     0.93
    26;     36.288388;           0;     0.87
    27;     29.883567;           0;     0.84
    28;     17.964532;           0;     0.90
    29;     44.801979;           0;     0.93
    30;     17.683345;           0;     0.87
    31;     22.119806;           0;     0.92
    32;     33.757698;           0;     0.91
    33;     21.073214;           1;    -0.01
    34;     19.104886;           0;     0.91
    35;     42.318143;           0;     0.85
    36;     15.793167;           0;     0.89
    37;     70.342896;           0;     0.93
    38;     33.070317;           0;     0.92
    39;     73.873275;           0;     0.88
    40;     25.775236;           0;     0.86
    41;     18.714352;           0;     0.87
    42;     62.485283;           1;    -0.01
    43;     20.573334;           0;     0.90
    44;     33.820139;           0;     0.84
    45;     28.790153;           0;     0.89
    46;     36.819471;           0;     0.88
    47;     18.995499;           0;     0.87
    48;     39.225163;           0;     0.90
    49;     38.116050;           0;     0.86
    50;     30.555365;           1;    -0.01
    51;     31.367589;           0;     0.94
    52;     30.367897;           0;     0.90
    53;     21.744854;           0;     0.89
    54;     44.411444;           0;     0.93
    55;     29.165066;           1;    -0.01
    56;     32.461083;           0;     0.88
    57;     55.330798;           0;     0.84
    58;     50.160093;           0;     0.90
    59;     47.894958;           0;     0.87
    60;     21.994833;           1;    -0.01
    61;     29.867984;           1;    -0.01
    62;     23.463280;           0;     0.84
    63;     46.395358;           0;     0.86
    64;     35.476045;           0;     0.85
    65;     38.444054;           0;     0.84
    66;     45.379967;           0;     0.90
    67;     31.133354;           0;     0.90
    68;     33.039074;           1;    -0.01
    69;     55.502591;           0;     0.88
    70;     22.479135;           0;     0.88
    71;     27.509165;           0;     0.89
    72;     54.471538;           0;     0.88
    73;     43.068010;           0;     0.78
    74;     31.914382;           0;     0.90
    75;     22.135424;           0;     0.89
    76;     48.129361;           0;     0.90
    77;     31.133328;           0;     0.89
    78;     66.078192;           0;     0.90
    79;     68.187108;           0;     0.89
    80;     34.195094;           0;     0.93
    81;     21.166903;           0;     0.92
    82;     24.931644;           0;     0.88
    83;     49.785182;           1;    -0.01
    84;     41.224693;           0;     0.86
    85;     38.834631;           1;    -0.01
    86;     41.396527;           0;     0.87
    87;     36.944448;           0;     0.83
    88;     38.631550;           0;     0.88
    89;     47.707585;           0;     0.92
    90;     38.865870;           0;     0.85
    91;     33.289020;           0;     0.90
    92;     19.135107;           0;     0.91
    93;     30.570902;           0;     0.84
    94;     21.744935;           0;     0.90
    95;     20.151511;           0;     0.90
    96;     30.524039;           0;     0.86
    97;     31.305148;           0;     0.91
    98;     55.971230;           1;    -0.01
    99;     70.233548;           0;     0.87
